IMDB_id	Freebase_id	budget	prod_country
tt1441953	/m/0100blym		GB
tt2802154	/m/0100khzv	4000000.0	RU
tt3079380	/m/0105j_71	65000000.0	US
tt3286560	/m/0106bp29		US
tt3013602	/m/0109gmqq	3400000.0	
tt1663202	/m/010b8p1w	135000000.0	US
tt3460252	/m/010bgvnp	44000000.0	US
tt3612616	/m/010f514q	4900000.0	CA
tt3319920	/m/010f6pjd		US
tt2126355	/m/010fl0v_	110000000.0	US
tt0974015	/m/010fq514	300000000.0	US
tt1192431	/m/010glghr		
tt3096712	/m/010glgpb		JP
tt0327205	/m/010gprbk		
tt0442751	/m/010gqghf		BR
tt2955316	/m/010gqm8v	3000000.0	ES
tt2660888	/m/010kk6fr	185000000.0	US
tt1972779	/m/010l3clz	26000000.0	US
tt2121382	/m/010ld99r		DK
tt3264102	/m/010ldbf5		
tt2106411	/m/010lwj3t		BR
tt2649152	/m/010p7dw4		RU
tt1355683	/m/010pd7hh	53000000.0	US
tt3541262	/m/010pnmj5	9500000.0	KR
tt2107861	/m/010qdxqc		US
tt1211837	/m/010qw4zb	165000000.0	US
tt2120120	/m/010rdrd1	88000000.0	US
tt0065999	/m/010rxb_t		HK
tt2446980	/m/010sqq_d	60000000.0	US
tt3711466	/m/010vz400	2300000.0	RU
tt3300542	/m/010vzxsl	60000000.0	US
tt4010918	/m/010x6tyf		KR
tt3488710	/m/010xcbcf	35000000.0	US
tt2726560	/m/010xfd0z	34000000.0	US
tt2361509	/m/011136dk	35000000.0	US
tt2856930	/m/01114s4n	7000000.0	RU
tt4074958	/m/0112rtwp		
tt4537362	/m/011323lg	3500000.0	RU
tt3397884	/m/0113sgkj	30000000.0	US
tt3450958	/m/0113z663	150000000.0	US
tt3098306	/m/011478sq	5000000.0	FR
tt2637276	/m/0114hb3m	68000000.0	US
tt0790770	/m/0115r55c		
tt2333784	/m/0119_h0n	95000000.0	FR
tt4058346	/m/011__7qy		RU
tt0018253	/m/011_m5		US
tt3896198	/m/011cjkjg	200000000.0	US
tt3005242	/m/011cknbh		HK
tt3136646	/m/011cs86t	2265160.0	RU
tt3110958	/m/011djb5_	90000000.0	US
tt1398426	/m/011djj66	28000000.0	US
tt3704050	/m/011f26pr		CA
tt2192016	/m/011f2krl		NZ
tt2503944	/m/011f4pw5	20000000.0	US
tt1878841	/m/011jhj8r	4000000.0	US
tt3713166	/m/011l62y_	1000000.0	US
tt2634200	/m/011m8kn3	133443.0	DE
tt3732252	/m/011nwd69		KR
tt3707106	/m/011q46b6	10000000.0	US
tt2378171	/m/011q_h2n		
tt2587914	/m/011qysh9		
tt4046784	/m/011r9j66	61000000.0	US
tt3720058	/m/011sg1by		
tt4040616	/m/011smmj8		
tt3953834	/m/011t93wy		KR
tt3682448	/m/011v6djn	40000000.0	US
tt3522136	/m/011v6nc_		
tt3855730	/m/011v89jy		JP
tt3787590	/m/011w_f4w	6000000.0	FR
tt0181689	/m/011wtv	102000000.0	US
tt1895587	/m/011x3m5b	20000000.0	US
tt3991412	/m/011x50hj		CA
tt0107048	/m/011x_4	14600000.0	US
tt0212720	/m/011xg5	100000000.0	US
tt0086856	/m/011xrr		
tt0112384	/m/011yd2	52000000.0	US
tt0112431	/m/011ydl	30000000.0	US
tt0110877	/m/011yfd		IT
tt0114388	/m/011yg9	16000000.0	US
tt0116282	/m/011yhm	7000000.0	US
tt0116695	/m/011ykb	50000000.0	US
tt0117631	/m/011yl_	5500000.0	
tt0119822	/m/011yn5	50000000.0	US
tt0119164	/m/011yph	3500000.0	GB
tt0119217	/m/011ypx	10000000.0	US
tt0119488	/m/011yqc	35000000.0	US
tt0127536	/m/011yr9	30000000.0	GB
tt0118799	/m/011yrp	20000000.0	IT
tt0120863	/m/011ysn	52000000.0	US
tt0140352	/m/011yth	90000000.0	US
tt0280707	/m/011ywj	19800000.0	IT
tt0203009	/m/011yxg	52500000.0	US
tt0103873	/m/011zms	3000000.0	NZ
tt0019785	/m/01202s	600000.0	
tt3450116	/m/0120www2		MX
tt2625810	/m/0120xpp2		CA
tt2304933	/m/0120xy4n	38000000.0	US
tt3881410	/m/0121__pv		MX
tt1666801	/m/0121_snm	8500000.0	US
tt1236434	/m/0121qg6f		MX
tt4044364	/m/01222yzm		US
tt3781476	/m/0122wj0_		CN
tt2910904	/m/0123hmcd	11930000.0	AU
tt3970854	/m/0123k9xn		
tt3276924	/m/0123kbvw	8900000.0	US
tt4643580	/m/0123rbwm	5300000.0	
tt1981128	/m/0124x_l1	120000000.0	US
tt1881109	/m/0125_5q5	6000000.0	US
tt4142598	/m/0125wd8c		
tt0119116	/m/0125xq	90000000.0	US
tt0144640	/m/0125yp	20000000.0	US
tt0119141	/m/0125z1	20000000.0	US
tt3498820	/m/0125zrjx	250000000.0	US
tt0077269	/m/012626		
tt3799694	/m/01262msv	50000000.0	US
tt3501632	/m/0126b7q0	180000000.0	US
tt1825683	/m/0126b7rc	200000000.0	US
tt4154664	/m/0126b88c	152000000.0	US
tt4154756	/m/0126b8kn	300000000.0	US
tt4154796	/m/0126b8kv	356000000.0	US
tt1477834	/m/0126dxpv	160000000.0	US
tt0118883	/m/0127ps	75000000.0	US
tt4119030	/m/0127xlgt	21000000.0	RU
tt3659388	/m/01295z79	108000000.0	GB
	/m/0129g2		
tt4084744	/m/012br8q8	5000000.0	UA
tt1386697	/m/012dwdjr	175000000.0	US
tt3742378	/m/012dyt28		BR
tt2718440	/m/012fkp2z		BE
tt0098382	/m/012gk9	30000000.0	US
tt3312830	/m/012hmyz0	13360000.0	US
tt2080374	/m/012hyvv1	30000000.0	US
tt0029870	/m/012j49		US
tt0032181	/m/012j6n		US
tt0310793	/m/012jfb	4000000.0	US
tt2872462	/m/012khcvj		US
tt0289043	/m/012kyx	5000000.0	GB
tt0075860	/m/012mrr	20000000.0	US
tt2638144	/m/012n8g9g	100000000.0	US
tt3685622	/m/012njq5z		
tt2140479	/m/012nlb0j	44000000.0	US
tt2380207	/m/012pr10k	60000.0	ES
tt5074352	/m/012r811k	10400000.0	US
tt0038057	/m/012rty	1202000.0	US
tt0145487	/m/012s1d	139000000.0	
tt3155242	/m/012vhnlz		
tt4170436	/m/012vm3dt		PH
tt3068194	/m/012vqmjc	3000000.0	IE
tt3774114	/m/012vtv_y	40000000.0	US
tt4276752	/m/012w41pn	37000000.0	CN
tt0086993	/m/012y5v	25000000.0	US
tt4357170	/m/012z2ltd		
tt2210769	/m/012z6qh_		
tt3850590	/m/01302qmw	15000000.0	US
tt2451550	/m/0130rtmn		GB
tt4242158	/m/01311rrj		
tt4034228	/m/01311xrt	9000000.0	US
tt5653294	/m/0131jmhz	10000000.0	RU
tt0108525	/m/01342x	40000000.0	US
tt2870648	/m/0134d0pc		US
tt4559932	/m/0134gkb1		RU
tt3784222	/m/0134m0gd		AR
tt4172430	/m/0134tnny	50000000.0	US
tt3062096	/m/0134tnr7	75000000.0	US
tt1628841	/m/0134v4hd	165000000.0	US
tt0079817	/m/0135_9	7000000.0	US
tt0120770	/m/0137wc	17000000.0	US
tt4217392	/m/0138jycw	65000000.0	
tt4337690	/m/0138my2j	5000000.0	US
tt3960412	/m/0138mzb9	20000000.0	US
tt1082807	/m/0138wf8j	5000000.0	US
tt3760922	/m/0139_bjm	18000000.0	US
tt4383594	/m/0139v3ty	30000000.0	FR
tt2582782	/m/013b39y0	12000000.0	US
tt2620590	/m/013bg1hp		US
tt2543164	/m/013d5zl6	47000000.0	US
tt2394063	/m/013dg8g5		
tt4589186	/m/013f8hc6		BE
tt0295178	/m/013q07	63000000.0	US
tt0118655	/m/013q0p	16500000.0	US
tt0065462	/m/013szf	3000000.0	US
tt0084602	/m/013vbq	17000000.0	US
tt0091278	/m/01404w	18000000.0	US
tt0100507	/m/0140g4	42000000.0	US
tt0108394	/m/01470k		US
tt0325165	/m/0147b5		KR
tt0041841	/m/0147f1	1000000.0	US
tt0043949	/m/0147sh	7623000.0	US
tt0120632	/m/014_x2	55000000.0	US
tt0111507	/m/014bhr		US
tt0111495	/m/014bjk		US
	/m/014d_k		
tt0080025	/m/014g2j		US
tt0101507	/m/014gcy	6500000.0	US
tt0106308	/m/014hr	11000000.0	US
tt0255819	/m/014k4y	16000000.0	US
tt0045296	/m/014kk6		US
tt0044391	/m/014kkm	1558000.0	US
tt0046359	/m/014knw	1661530.0	US
tt0246460	/m/014kq6	140000000.0	US
tt0100405	/m/014l6_	14000000.0	US
tt0253754	/m/014lc_	60000000.0	US
	/m/014nbs		
tt0120844	/m/014nq4	70000000.0	US
tt0096928	/m/014z96	10000000.0	US
tt0128853	/m/014zwb	65000000.0	US
tt0120768	/m/01510v	50000000.0	US
tt0004972	/m/0151l	100000.0	
	/m/0153xc		
tt0050307	/m/015_1c		US
tt0102975	/m/015bpl	27000000.0	US
tt0048317	/m/015d3z		US
tt0048347	/m/015d7j	1000000.0	US
tt0047849	/m/015d7y	1271000.0	US
tt0049456	/m/015db1		US
tt0050487	/m/015dkm		US
tt0055895	/m/015gjc		US
tt0057163	/m/015gm8	2500000.0	US
tt0059017	/m/015gm_		US
tt0061512	/m/015gsf	3200000.0	US
tt0062794	/m/015gv2	950000.0	
tt0065126	/m/015gxt		US
tt0110189	/m/015kly		US
tt0122690	/m/015qnh	55000000.0	US
tt0076245	/m/015qqg		US
tt0070290	/m/015qr_	2300000.0	US
tt0070849	/m/015qrk	1250000.0	US
tt0070666	/m/015qsq	3000000.0	US
tt0077280	/m/015wcx	1200000.0	US
tt0078966	/m/015wf0	5900000.0	US
tt0078841	/m/015whm		US
tt0078718	/m/015wmg	6000000.0	US
tt0079239	/m/015wmt		US
tt0081568	/m/015wq4		US
tt0082031	/m/015wrq	7000000.0	US
tt0081974	/m/015wsj	12000000.0	US
tt0096764	/m/015x74	46630000.0	US
	/m/015ynm		
	/m/016017		
tt0078872	/m/01608r	2700000.0	US
tt0088184	/m/0160jy		
tt0045231	/m/0160kp		
tt0242795	/m/0162w8		FR
tt0119360	/m/01633c	35000000.0	US
tt0143145	/m/0164qt	135000000.0	US
tt0054331	/m/0168ls	12000000.0	US
tt0119654	/m/016dj8	90000000.0	US
tt0114814	/m/016fyc	6000000.0	
tt0308506	/m/016g9c	30000000.0	US
tt0084370	/m/016k80		US
tt0088172	/m/016kc2	22000000.0	US
tt0089643	/m/016kmf	13000000.0	US
tt0089941	/m/016kn6	9000000.0	US
tt0090863	/m/016kpn	13800000.0	US
tt0093105	/m/016kxf	13000000.0	
tt0094737	/m/016ky6	18000000.0	US
tt0085549	/m/016kz1	7000000.0	US
tt0100280	/m/016ltd	10959015.0	GB
tt0080761	/m/016mng	550000.0	US
tt0318034	/m/016ns0		DK
tt0113118	/m/016rw2	3500000.0	US
tt0110074	/m/016y0b	25000000.0	US
tt0101540	/m/016y_f	35000000.0	US
tt0042546	/m/016yhm		
tt0093713	/m/016yv0		DK
tt0097499	/m/016ywb	9000000.0	GB
tt0100486	/m/016yxn		
tt0114272	/m/016z30	19000000.0	US
tt0101889	/m/016z43	24000000.0	US
tt0103939	/m/016z5x	31000000.0	FR
tt0108551	/m/016z7f	15000000.0	US
tt0110684	/m/016z84		US
tt0113862	/m/016z98	31000000.0	US
tt0113987	/m/016z9n	44000000.0	US
	/m/016ztl		
tt0174856	/m/0170_p	50000000.0	US
tt0117666	/m/0170qy	1200000.0	US
tt0117318	/m/0170th	36000000.0	US
tt0118632	/m/0170v9	5000000.0	
tt0120402	/m/0170w2		
tt0120684	/m/0170xl	10000000.0	US
tt0118564	/m/0170yd	6000000.0	JP
tt0120586	/m/0170z3	20000000.0	US
tt0158371	/m/01712f		US
tt0180073	/m/017180	13500000.0	US
tt0139654	/m/01718w	45000000.0	US
tt0248667	/m/01719t	107000000.0	US
tt0277027	/m/0171bs	22000000.0	US
tt0122718	/m/01738w	40000000.0	US
tt0019429	/m/0173lb		US
tt0077294	/m/0175fh	5000000.0	GB
	/m/0175k8		
